iter	Passed	Remaining
0	137	137040
1	139	69639
2	142	47321
3	144	36022
4	147	29373
5	149	24807
6	152	21565
7	154	19122
8	156	17222
9	159	15744
10	166	14934
11	168	13910
12	186	14194
13	189	13341
14	191	12544
15	198	12208
16	201	11630
17	203	11105
18	210	10856
19	212	10399
20	213	9951
21	215	9559
22	216	9211
23	221	9007
24	222	8694
25	224	8394
26	225	8124
27	227	7903
28	229	7678
29	234	7571
30	235	7375
31	237	7174
32	238	6996
33	240	6832
34	241	6662
35	243	6525
36	245	6400
37	247	6257
38	248	6120
39	250	6002
40	252	5897
41	253	5782
42	255	5678
43	256	5570
44	257	5471
45	259	5378
46	267	5414
47	268	5328
48	270	5242
49	271	5161
50	273	5089
51	274	5012
52	279	4997
53	281	4929
54	282	4855
55	283	4781
56	285	4727
57	287	4661
58	294	4699
59	296	4637
60	297	4575
61	298	4520
62	300	4476
63	302	4420
64	303	4367
65	305	4326
66	307	4280
67	309	4244
68	312	4213
69	313	4165
70	315	4124
71	316	4083
72	318	4044
73	319	4004
74	324	3996
75	326	3967
76	327	3925
77	329	3892
78	330	3854
79	332	3825
80	336	3817
81	337	3783
82	339	3746
83	341	3727
84	343	3694
85	344	3659
86	346	3639
87	348	3609
88	350	3583
89	351	3555
90	353	3529
91	354	3499
92	355	3469
93	360	3470
94	361	3444
95	362	3415
96	364	3389
97	365	3365
98	367	3342
99	368	3316
100	371	3308
101	372	3282
102	374	3257
103	375	3237
104	377	3214
105	378	3195
106	380	3171
107	385	3184
108	386	3162
109	387	3138
110	389	3120
111	391	3103
112	402	3158
113	404	3144
114	406	3125
115	417	3178
116	418	3159
117	419	3138
118	420	3116
119	425	3121
120	427	3103
121	429	3093
122	430	3070
123	431	3051
124	433	3034
125	434	3016
126	436	2998
127	437	2979
128	440	2973
129	441	2956
130	442	2938
131	444	2921
132	445	2905
133	448	2900
134	450	2883
135	451	2868
136	452	2853
137	453	2835
138	455	2818
139	456	2806
140	457	2789
141	462	2791
142	463	2777
143	464	2761
144	465	2747
145	467	2731
146	468	2720
147	470	2707
148	472	2699
149	473	2685
150	475	2671
151	476	2660
152	478	2646
153	479	2633
154	480	2619
155	481	2606
156	486	2612
157	487	2600
158	489	2588
159	490	2575
160	492	2564
161	493	2551
162	494	2539
163	498	2540
164	499	2529
165	500	2516
166	502	2506
167	504	2496
168	505	2484
169	506	2472
170	507	2462
171	510	2458
172	512	2448
173	513	2437
174	514	2426
175	515	2414
176	517	2404
177	518	2394
178	527	2418
179	528	2408
180	529	2395
181	530	2383
182	531	2373
183	533	2365
184	537	2365
185	538	2355
186	539	2345
187	540	2334
188	541	2324
189	542	2313
190	544	2304
191	545	2295
192	547	2289
193	549	2281
194	550	2271
195	551	2261
196	552	2251
197	554	2245
198	555	2235
199	556	2227
200	559	2222
201	560	2213
202	561	2203
203	562	2194
204	563	2187
205	565	2177
206	566	2169
207	567	2161
208	568	2152
209	569	2144
210	571	2135
211	572	2129
212	573	2120
213	575	2112
214	576	2103
215	579	2103
216	581	2097
217	582	2088
218	583	2080
219	584	2072
220	586	2066
221	587	2058
222	588	2051
223	592	2051
224	593	2045
225	595	2037
226	596	2029
227	597	2021
228	598	2014
229	600	2008
230	601	2001
231	606	2006
232	607	1999
233	608	1992
234	609	1985
235	610	1977
236	612	1970
237	613	1964
238	614	1957
239	617	1955
240	618	1948
241	619	1941
242	620	1934
243	622	1927
244	623	1921
245	625	1916
246	626	1910
247	629	1909
248	630	1902
249	631	1895
250	633	1889
251	634	1884
252	636	1878
253	637	1871
254	639	1868
255	641	1864
256	642	1857
257	643	1851
258	646	1850
259	648	1846
260	650	1841
261	651	1835
262	652	1829
263	654	1825
264	657	1823
265	659	1819
266	660	1814
267	662	1808
268	664	1806
269	666	1801
270	672	1807
271	673	1802
272	674	1797
273	681	1807
274	683	1801
275	685	1797
276	686	1792
277	688	1787
278	690	1783
279	691	1777
280	692	1772
281	694	1768
282	695	1763
283	696	1757
284	698	1752
285	702	1755
286	710	1764
287	711	1759
288	713	1754
289	720	1763
290	722	1760
291	723	1755
292	725	1749
293	735	1766
294	736	1760
295	737	1754
296	739	1749
297	743	1751
298	744	1746
299	745	1740
300	748	1739
301	750	1734
302	751	1728
303	753	1724
304	754	1719
305	756	1715
306	758	1711
307	760	1707
308	762	1705
309	765	1703
310	766	1699
311	768	1694
312	770	1690
313	771	1686
314	773	1682
315	776	1680
316	777	1675
317	779	1671
318	783	1672
319	785	1669
320	787	1665
321	788	1660
322	792	1661
323	800	1669
324	801	1665
325	809	1673
326	810	1668
327	811	1662
328	812	1657
329	814	1653
330	815	1648
331	816	1643
332	819	1642
333	820	1637
334	822	1631
335	823	1627
336	824	1622
337	825	1617
338	827	1612
339	831	1614
340	833	1610
341	834	1605
342	835	1600
343	836	1595
344	838	1591
345	839	1586
346	845	1591
347	846	1586
348	848	1582
349	849	1577
350	850	1573
351	852	1568
352	853	1564
353	856	1563
354	858	1559
355	859	1554
356	860	1550
357	862	1545
358	863	1541
359	864	1536
360	866	1533
361	867	1529
362	868	1524
363	869	1519
364	871	1515
365	872	1511
366	873	1506
367	880	1511
368	881	1506
369	882	1502
370	883	1497
371	885	1494
372	886	1489
373	887	1485
374	890	1484
375	892	1481
376	893	1477
377	894	1472
378	895	1467
379	897	1463
380	898	1459
381	900	1456
382	903	1455
383	904	1451
384	905	1446
385	906	1442
386	907	1438
387	909	1434
388	910	1430
389	914	1430
390	916	1427
391	917	1423
392	919	1419
393	920	1415
394	921	1411
395	922	1407
396	923	1403
397	928	1404
398	930	1400
399	931	1396
400	932	1392
401	933	1388
402	935	1385
403	936	1381
404	937	1377
405	941	1377
406	943	1374
407	944	1370
408	945	1365
409	946	1361
410	947	1358
411	949	1354
412	950	1350
413	956	1353
414	957	1349
415	958	1345
416	959	1341
417	961	1338
418	962	1334
419	963	1330
420	966	1328
421	968	1325
422	969	1321
423	970	1318
424	971	1314
425	972	1310
426	974	1307
427	975	1303
428	978	1301
429	979	1299
430	981	1295
